window,rppg_score,fft_score
30,0.388,0.0
45,0.2236,0.0
60,0.5171,0.0
75,0.4779,0.8407
90,0.6236,0.8847
105,0.422,0.9101
120,0.4692,0.9061
135,0.7078,0.9238
150,0.6617,0.9303
165,0.5703,0.9338
180,0.754,0.9308
195,0.4316,0.9357
210,0.539,0.9406
225,0.699,0.9366
240,0.3306,0.9396
255,0.2668,0.9424
270,0.0105,0.938
285,0.3291,0.9408
300,0.3841,0.9422
315,0.3996,0.9431
330,0.5434,0.943
345,0.3379,0.9416
360,0.3014,0.9438
375,0.8327,0.945
390,0.7068,0.9441
405,0.8989,0.9433
